"year","month","data","cases","autochthonous","imported"
2015,"January",2015-01-01,3,0,3
2015,"February",2015-02-01,2,0,2
2015,"March",2015-03-01,2,0,2
2015,"April",2015-04-01,0,0,0
2015,"May",2015-05-01,1,0,1
2015,"June",2015-06-01,2,0,2
2015,"July",2015-07-01,1,0,1
2015,"August",2015-08-01,5,0,5
2015,"September",2015-09-01,0,0,0
2015,"October",2015-10-01,1,0,1
2015,"November",2015-11-01,0,0,0
2015,"December",2015-12-01,0,0,0
2016,"January",2016-01-01,2,0,2
2016,"February",2016-02-01,3,0,3
2016,"March",2016-03-01,2,0,2
2016,"April",2016-04-01,0,0,0
2016,"May",2016-05-01,0,0,0
2016,"June",2016-06-01,1,0,1
2016,"July",2016-07-01,1,0,1
2016,"August",2016-08-01,2,0,2
2016,"September",2016-09-01,3,0,3
2016,"October",2016-10-01,3,0,3
2016,"November",2016-11-01,0,0,0
2016,"December",2016-12-01,0,0,0
2017,"January",2017-01-01,0,0,0
2017,"February",2017-02-01,0,0,0
2017,"March",2017-03-01,0,0,0
2017,"April",2017-04-01,2,0,2
2017,"May",2017-05-01,1,0,1
2017,"June",2017-06-01,1,0,1
2017,"July",2017-07-01,4,1,3
2017,"August",2017-08-01,24,24,0
2017,"September",2017-09-01,227,226,1
2017,"October",2017-10-01,33,33,0
2017,"November",2017-11-01,0,0,0
2017,"December",2017-12-01,0,0,0
2018,"January",2018-01-01,0,0,0
2018,"February",2018-02-01,0,0,0
2018,"March",2018-03-01,0,0,0
2018,"April",2018-04-01,1,0,1
2018,"May",2018-05-01,1,0,1
2018,"June",2018-06-01,0,0,0
2018,"July",2018-07-01,0,0,0
2018,"August",2018-08-01,1,0,1
2018,"September",2018-09-01,1,0,1
2018,"October",2018-10-01,0,0,0
2018,"November",2018-11-01,0,0,0
2018,"December",2018-12-01,1,0,1
2019,"January",2019-01-01,2,0,2
2019,"February",2019-02-01,3,0,3
2019,"March",2019-03-01,0,0,0
2019,"April",2019-04-01,2,0,2
2019,"May",2019-05-01,4,0,4
2019,"June",2019-06-01,0,0,0
2019,"July",2019-07-01,0,0,0
2019,"August",2019-08-01,3,0,3
2019,"September",2019-09-01,1,0,1
2019,"October",2019-10-01,1,0,1
2019,"November",2019-11-01,2,0,2
2019,"December",2019-12-01,0,0,0
2020,"January",2020-01-01,3,0,3
2020,"February",2020-02-01,1,0,1
2020,"March",2020-03-01,0,0,0
2020,"April",2020-04-01,0,0,0
2020,"May",2020-05-01,1,0,1
2020,"June",2020-06-01,0,0,0
2020,"July",2020-07-01,0,0,0
2020,"August",2020-08-01,0,0,0
2020,"September",2020-09-01,0,0,0
2020,"October",2020-10-01,0,0,0
2020,"November",2020-11-01,0,0,0
2020,"December",2020-12-01,0,0,0
2021,"January",2021-01-01,0,0,0
2021,"February",2021-02-01,0,0,0
2021,"March",2021-03-01,0,0,0
2021,"April",2021-04-01,0,0,0
2021,"May",2021-05-01,0,0,0
2021,"June",2021-06-01,0,0,0
2021,"July",2021-07-01,0,0,0
2021,"August",2021-08-01,0,0,0
2021,"September",2021-09-01,0,0,0
2021,"October",2021-10-01,0,0,0
2021,"November",2021-11-01,0,0,0
2021,"December",2021-12-01,0,0,0
2022,"January",2022-01-01,0,0,0
2022,"February",2022-02-01,0,0,0
2022,"March",2022-03-01,0,0,0
2022,"April",2022-04-01,0,0,0
2022,"May",2022-05-01,0,0,0
2022,"June",2022-06-01,0,0,0
2022,"July",2022-07-01,0,0,0
2022,"August",2022-08-01,0,0,0
2022,"September",2022-09-01,0,0,0
2022,"October",2022-10-01,0,0,0
2022,"November",2022-11-01,0,0,0
2022,"December",2022-12-01,0,0,0
2023,"January",2023-01-01,0,0,0
2023,"February",2023-02-01,0,0,0
2023,"March",2023-03-01,1,0,1
2023,"April",2023-04-01,2,0,2
2023,"May",2023-05-01,0,0,0
2023,"June",2023-06-01,0,0,0
2023,"July",2023-07-01,0,0,0
2023,"August",2023-08-01,0,0,0
2023,"September",2023-09-01,1,0,1
2023,"October",2023-10-01,0,0,0
2023,"November",2023-11-01,0,0,0
2023,"December",2023-12-01,0,0,0
