"data","location","percent_cases"
2023-09-04,"Messico",12
2023-09-04,"Cuba",11
2023-09-04,"Thailandia",11
2023-09-04,"Italia",8
2023-09-04,"Indonesia",7
2023-09-04,"Brasile",6
2023-09-04,"Maldive",5
2023-09-04,"Perù",5
2023-09-04,"India",5
2023-09-04,"Sri Lanka",4
2023-09-04,"Altro",27
2023-09-11,"Messico",13
2023-09-11,"Italia",12
2023-09-11,"Thailandia",10
2023-09-11,"Cuba",9
2023-09-11,"Maldive",5
2023-09-11,"Indonesia",5
2023-09-11,"Brasile",5
2023-09-11,"Perù",5
2023-09-11,"India",5
2023-09-11,"Sri Lanka",4
2023-09-11,"Costa d'Avorio",4
2023-09-11,"Bangladesh",3
2023-09-11,"Altro",21
2023-09-19,"Italia",13
2023-09-19,"Messico",12
2023-09-19,"Thailandia",11
2023-09-19,"Cuba",8
2023-09-19,"Indonesia",7
2023-09-19,"India",5
2023-09-19,"Brasile",5
2023-09-19,"Maldive",5
2023-09-19,"Perù",4
2023-09-19,"Costarica",3
2023-09-19,"Costa d'Avorio",3
2023-09-19,"Sri Lanka",3
2023-09-19,"Bangladesh",3
2023-09-19,"Altro",17
2023-09-25,"Italia",15
2023-09-25,"Messico",12
2023-09-25,"Thailandia",9
2023-09-25,"Cuba",8
2023-09-25,"Indonesia",7
2023-09-25,"India",6
2023-09-25,"Maldive",5
2023-09-25,"Brasile",5
2023-09-25,"Perù",4
2023-09-25,"Costarica",3
2023-09-25,"Costa d'Avorio",3
2023-09-25,"Bangladesh",3
2023-09-25,"Sri Lanka",3
2023-09-25,"Rep. Dominicana",2
2023-09-25,"Altro",16
2023-10-02,"Messico",14
2023-10-02,"Thailandia",11
2023-10-02,"Cuba",9
2023-10-02,"Indonesia",8
2023-10-02,"India",7
2023-10-02,"Maldive",6
2023-10-02,"Brasile",5
2023-10-02,"Perù",4
2023-10-02,"Costarica",4
2023-10-02,"Costa d'Avorio",3
2023-10-02,"Bangladesh",3
2023-10-02,"Sri Lanka",3
2023-10-02,"Rep. Dominicana",3
2023-10-02,"Altro",19
2023-10-09,"Messico",15
2023-10-09,"Thailandia",11
2023-10-09,"Cuba",8
2023-10-09,"Indonesia",8
2023-10-09,"India",7
2023-10-09,"Maldive",6
2023-10-09,"Brasile",6
2023-10-09,"Perù",4
2023-10-09,"Costarica",4
2023-10-09,"Costa d'Avorio",3
2023-10-09,"Bangladesh",3
2023-10-09,"Sri Lanka",3
2023-10-09,"Rep. Dominicana",3
2023-10-09,"Altro",18
2023-10-16,"Messico",14
2023-10-16,"Thailandia",11
2023-10-16,"Cuba",9
2023-10-16,"Indonesia",8
2023-10-16,"India",7
2023-10-16,"Maldive",6
2023-10-16,"Brasile",6
2023-10-16,"Perù",4
2023-10-16,"Costarica",4
2023-10-16,"Costa d'Avorio",4
2023-10-16,"Bangladesh",3
2023-10-16,"Sri Lanka",3
2023-10-16,"Rep. Dominicana",3
2023-10-16,"Altro",18
